Aspecto, Opinião, Sentimento
Programa de incentivo à cultura, admirável,  positivo
Áreas verdes, melhoria,  positivo
Serviços de transporte público, precisa de melhorias,  negativo 
Manutenção de calçadas de pedestres, variável,  neutro
Divulgação de eventos culturais, poderia ser aprimorada,  neutro
Infraestrutura de ciclovias, limitada,  negativo
Serviços de licenciamento para empresas, burocráticos,  negativo
Manutenção de praças públicas, falta de,  negativo
Educação pública, enfrenta desafios,  negativo
Sistema de drenagem, inadequado,  negativo
Fiscalização de obras e construções, insuficiente,  negativo
Burocracia na prefeitura, desafiadora,  negativo
atendimento  na  unidade  de  saúde ,  excelente ,  positivo 
limpeza  dos  parques ,  muito  suja  e  abandonada ,  negativo 
segurança  nos  bairros ,  precisa  de  mais  policiamento ,  neutro 
transporte  público ,  sempre  atrasado  e  lotado ,  negativo 
coleta  de  lixo ,  eficiente  e  regular ,  positivo 
atendimento  nos  postos  de  emprego ,  demorado  e  desorganizado ,  negativo 
qualidade  da  educação ,  falta  infraestrutura  e  materiais  didáticos ,  negativo 
manutenção  das  vias  públicas ,  precária  e  cheia  de  buracos ,  negativo 
serviço  de  coleta  seletiva  de  recicláveis ,  inexistente ,  negativo 
assistência  social ,  atendimento  humanizado  e  eficiente ,  positivo
ciclofaixa ,  não  terá  ciclofaixa  hj ,  negativo 
Estagi ,  ser  fitness ,  neutro 
anaminese ,  marquei  opção  errada  na  anaminese ,  negativo 
musculação ,  só  posso  ter  aulas  de  musculação  depois  de  apresentar  um  atestado  médico ,  negativo 
relacionado  a  postagem ,  arretado ,  positivo 
relacionado  a  postagem ,  massa ,  positivo 
relacionado  a  postagem ,  sensacional  😍 ,  positivo 
relacionado  a  postagem ,  👏👏 ,  positivo 
relacionado  a  postagem ,  👏👏👏👏👏👏 ,  positivo 
relacionado  a  postagem ,  🔝🔝 ,  positivo 
inscrição ,  me  inscrevi  e  não  aparece  data  de  agendamento  disponível ,  negativo 
gratuita/pelo  SUS ,  ué?  gratuita  ou  pelo  SUS? ,  neutro 
academias ,  nas  academias  de  Boa  Viagem??? ,  neutro 
Paulista ,  devia  ter  em  Paulista  em  todos  os  bairros ,  positivo 
relacionado  a  postagem ,  gente  mandei  um  direct  pra  vocês  🙏🙏🙏🙏🙏🙏🙏 ,  positivo 
relacionado  a  postagem ,  👀 ,  neutro 
nutricionista ,  sou  da  academia  da  @poloiputinga  e  não  estou  conseguindo  nutricionista  😔 ,  negativo
